"SECONDS";"PID";"VALUE";"UNITS"
"33,0330721";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"33,0339296";"Durchschnittsgeschwindigkeit";"0";"km/h"
"33,0341139";"zurückgelegte Strecke (gesamt)";"0";"km"
"33,251203";"Kühlmitteltemperatur";"60";"℃"
"33,4824";"Motordrehzahl";"873";"rpm"
"33,4833609";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"33,4845128";"verbrauchte Spritmenge";"0";"l"
"33,4846454";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"33,4859576";"verbrauchte Spritmenge (gesamt)";"0";"l"
"33,4860913";"Treibstoffkosten";"0";"€"
"33,499232";"Treibstoffkosten (gesamt)";"0";"€"
"33,71431";"Geschwindigkeit";"0";"km/h"
"33,7163171";"zurückgelegte Strecke";"0";"km"
"33,7166948";"Fahrzeugbeschleunigung";"0";"m_sec2"
"33,718924";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"33,720083";"Durchschnittsgeschwindigkeit";"0";"km/h"
"33,7204215";"zurückgelegte Strecke (gesamt)";"0";"km"
"33,9609817";"Einlaß-Lufttemperatur";"18";"℃"
"34,2053547";"Kühlmitteltemperatur";"60";"℃"
"34,4403468";"Motordrehzahl";"868";"rpm"
"34,4418576";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"34,4448778";"verbrauchte Spritmenge";"0";"l"
"34,4451829";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"34,4497722";"verbrauchte Spritmenge (gesamt)";"0";"l"
"34,4499355";"Treibstoffkosten";"0";"€"
"34,457672";"Treibstoffkosten (gesamt)";"0";"€"
"34,6688657";"Geschwindigkeit";"0";"km/h"
"34,6700407";"zurückgelegte Strecke";"0";"km"
"34,6702333";"Fahrzeugbeschleunigung";"0";"m_sec2"
"34,6713326";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"34,6719098";"Durchschnittsgeschwindigkeit";"0";"km/h"
"34,6720546";"zurückgelegte Strecke (gesamt)";"0";"km"
"34,9091496";"Kühlmitteltemperatur";"60";"℃"
"35,1413391";"Motordrehzahl";"875";"rpm"
"35,1430618";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"35,1489942";"verbrauchte Spritmenge";"0";"l"
"35,1502039";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"35,1538095";"verbrauchte Spritmenge (gesamt)";"0";"l"
"35,1541317";"Treibstoffkosten";"0";"€"
"35,1713053";"Treibstoffkosten (gesamt)";"0";"€"
"35,376185";"Geschwindigkeit";"0";"km/h"
"35,3801022";"zurückgelegte Strecke";"0";"km"
"35,3805306";"Fahrzeugbeschleunigung";"0";"m_sec2"
"35,3837669";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"35,3844403";"Durchschnittsgeschwindigkeit";"0";"km/h"
"35,3847889";"zurückgelegte Strecke (gesamt)";"0";"km"
"35,6138323";"Kühlmitteltemperatur";"60";"℃"
"36,6455158";"Motordrehzahl";"879";"rpm"
"36,64668";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
